x,y,z,c
83,160,38,#000000
99,23,44,#000000
137,43,13,#000000
141,43,9,#000000
41,176,4,#000000
43,164,21,#000000
100,3,23,#000000
117,1,38,#000000
96,25,38,#000000
174,17,10,#000000
147,41,59,#000000
150,38,55,#000000
150,38,57,#000000
157,144,0,#000000
158,146,9,#000000
172,142,43,#000000
36,160,25,#000000
79,160,41,#000000
135,46,2,#000000
132,30,21,#000000
158,41,10,#000000
151,36,55,#000000
48,169,48,#000000
98,10,18,#000000
175,18,2,#000000
163,146,14,#000000
167,136,40,#000000
90,36,3,#000000
140,45,9,#000000
32,177,7,#000000
41,168,49,#000000
98,9,21,#000000
110,5,39,#000000
169,20,7,#000000
169,20,4,#000000
145,35,52,#000000
156,145,1,#000000
131,43,2,#000000
156,148,3,#000000
42,167,52,#000000
84,159,37,#000000
99,22,42,#000000
166,141,13,#000000
32,177,6,#000000
135,46,7,#000000
147,31,57,#000000
157,130,50,#000000
144,37,59,#000000
44,162,21,#000000
42,165,21,#000000
48,169,50,#000000
172,19,9,#000000
94,36,6,#000000
137,45,5,#000000
175,16,0,#000000
108,43,51,#000000
134,42,0,#000000
163,146,13,#000000
75,157,37,#000000
170,22,3,#000000
134,39,9,#000000
108,3,38,#000000
110,6,34,#000000
157,2,29,#000000
157,4,21,#000000
136,41,8,#000000
161,40,3,#000000
139,47,11,#000000
144,44,4,#000000
178,36,56,#000000
178,68,33,#000000
38,176,9,#000000
36,172,4,#000000
80,159,42,#000000
170,73,8,#000000
39,168,23,#000000
160,4,19,#000000
172,15,5,#000000
160,44,6,#000000
38,165,23,#000000
179,70,30,#000000
163,138,19,#000000
169,139,43,#000000
130,31,30,#000000
144,54,48,#000000
38,162,25,#000000
37,163,21,#000000
109,5,35,#000000
176,19,5,#000000
176,17,8,#000000
145,41,3,#000000
176,70,27,#000000
176,66,35,#000000
42,168,46,#000000
96,4,22,#000000
101,26,44,#000000
170,19,8,#000000
148,36,53,#000000
175,73,7,#000000
161,148,8,#000000
167,137,39,#000000
173,71,10,#000000
43,168,45,#000000
112,12,36,#000000
96,27,47,#000000
176,16,8,#000000
173,24,6,#000000
157,48,7,#000000
176,70,28,#000000
163,133,50,#000000
45,172,46,#000000
41,166,45,#000000
115,40,53,#000000
138,30,23,#000000
143,37,56,#000000
153,85,21,#000000
98,33,43,#000000
137,30,23,#000000
157,42,2,#000000
42,169,50,#000000
142,34,59,#000000
175,71,9,#000000
47,166,43,#000000
98,23,45,#000000
113,43,52,#000000
144,35,53,#000000
138,51,52,#000000
161,138,48,#000000
36,177,9,#000000
113,4,40,#000000
111,48,53,#000000
143,39,0,#000000
152,82,26,#000000
162,138,46,#000000
173,145,41,#000000
